timeStamp,pl,accPL,lastPrice
2016-10-21 04:00:00,4,4,1407
2016-10-21 05:00:00,-2,2,1403
2016-10-21 06:00:00,1,3,1405
2016-10-21 07:00:00,0,3,1404
2016-10-24 01:00:00,6,9,1404
2016-10-24 02:00:00,6,15,1398
2016-10-24 03:00:00,-2,13,1392
2016-10-24 04:00:00,-3,10,1394
2016-10-24 05:00:00,-2,8,1397
2016-10-24 06:00:00,5,13,1399
2016-10-24 07:00:00,1,14,1394
2016-10-25 01:00:00,-16,-2,1393
2016-10-25 02:00:00,5,3,1409
2016-10-25 03:00:00,0,3,1404
2016-10-25 04:00:00,-3,0,1404
2016-10-25 05:00:00,-1,-1,1407
2016-10-25 06:00:00,4,3,1408
2016-10-25 07:00:00,1,4,1404
2016-10-26 01:00:00,-2,2,1403
2016-10-26 02:00:00,-11,-9,1405
2016-10-26 03:00:00,8,-1,1416
2016-10-26 04:00:00,-8,-9,1408
2016-10-26 05:00:00,6,-3,1416
2016-10-26 06:00:00,0,-3,1410
2016-10-26 07:00:00,0,-3,1410
2016-10-27 01:00:00,15,12,1410
2016-10-27 02:00:00,1,13,1395
2016-10-27 03:00:00,5,18,1394
2016-10-27 04:00:00,-1,17,1389
2016-10-27 05:00:00,-2,15,1390
2016-10-27 06:00:00,0,15,1392
2016-10-27 07:00:00,1,16,1392
2016-10-28 01:00:00,-8,8,1391
2016-10-28 02:00:00,-4,4,1399
2016-10-28 03:00:00,4,8,1403
2016-10-28 04:00:00,-5,3,1399
2016-10-28 05:00:00,2,5,1404
2016-10-28 06:00:00,-1,4,1402
2016-10-28 07:00:00,-2,2,1403
2016-10-31 01:00:00,9,11,1405
2016-10-31 02:00:00,-1,10,1396
2016-10-31 03:00:00,5,15,1397
2016-10-31 04:00:00,0,15,1392
2016-10-31 05:00:00,-1,14,1392
2016-10-31 06:00:00,3,17,1393
2016-10-31 07:00:00,0,17,1390
2016-11-01 01:00:00,11,28,1390
2016-11-01 02:00:00,7,35,1379
2016-11-01 03:00:00,2,37,1372
2016-11-01 04:00:00,-2,35,1370
2016-11-01 05:00:00,3,38,1372
2016-11-01 06:00:00,1,39,1369
2016-11-01 07:00:00,-1,38,1368
2016-11-02 01:00:00,13,51,1369
2016-11-02 02:00:00,-9,42,1356
2016-11-02 03:00:00,3,45,1365
2016-11-02 04:00:00,-14,31,1362
2016-11-02 05:00:00,1,32,1376
2016-11-02 06:00:00,-1,31,1375
2016-11-02 07:00:00,-1,30,1376
2016-11-04 01:00:00,17,47,1377
2016-11-04 02:00:00,4,51,1360
2016-11-04 03:00:00,-2,49,1356
2016-11-04 04:00:00,-7,42,1358
2016-11-04 05:00:00,0,42,1365
2016-11-04 06:00:00,3,45,1365
2016-11-04 07:00:00,-1,44,1362
2016-11-07 01:00:00,-27,17,1363
2016-11-07 02:00:00,-4,13,1390
2016-11-07 03:00:00,10,23,1394
2016-11-07 04:00:00,-12,11,1384
2016-11-07 05:00:00,9,20,1396
2016-11-07 06:00:00,-1,19,1387
2016-11-07 07:00:00,2,21,1388
2016-11-08 01:00:00,-1,20,1386
2016-11-08 02:00:00,6,26,1387
2016-11-08 03:00:00,6,32,1381
2016-11-08 04:00:00,-5,27,1375
2016-11-08 05:00:00,0,27,1380
2016-11-08 06:00:00,1,28,1380
2016-11-08 07:00:00,-1,27,1379
2016-11-09 01:00:00,-2,25,1380
2016-11-09 02:00:00,11,36,1382
2016-11-09 03:00:00,26,62,1371
2016-11-09 04:00:00,31,93,1345
2016-11-09 05:00:00,7,100,1314
2016-11-09 06:00:00,-1,99,1307
2016-11-09 07:00:00,0,99,1308
2016-11-10 01:00:00,-58,41,1308
2016-11-10 02:00:00,3,44,1366
2016-11-10 03:00:00,-6,38,1363
2016-11-10 04:00:00,-3,35,1369
2016-11-10 05:00:00,-2,33,1372
2016-11-10 06:00:00,-5,28,1374
2016-11-10 07:00:00,1,29,1379
2016-11-11 01:00:00,-9,20,1378
2016-11-11 02:00:00,0,20,1387
2016-11-11 03:00:00,15,35,1387
2016-11-11 04:00:00,-9,26,1372
2016-11-11 05:00:00,-4,22,1381
2016-11-11 06:00:00,-11,11,1385
2016-11-11 07:00:00,1,12,1396
2016-11-14 01:00:00,16,28,1395
2016-11-14 02:00:00,1,29,1411
2016-11-14 03:00:00,-9,20,1410
2016-11-14 04:00:00,-11,9,1401
2016-11-14 05:00:00,-7,2,1412
2016-11-14 06:00:00,-4,-2,1419
2016-11-14 07:00:00,-1,-3,1423
2016-11-15 01:00:00,17,14,1424
2016-11-15 02:00:00,-7,7,1407
2016-11-15 03:00:00,12,19,1414
2016-11-15 04:00:00,-6,13,1402
2016-11-15 05:00:00,1,14,1408
2016-11-15 06:00:00,-12,2,1407
2016-11-15 07:00:00,1,3,1419
2016-11-16 01:00:00,-52,-49,1418
2016-11-16 02:00:00,1,-48,1470
2016-11-16 03:00:00,2,-46,1469
2016-11-16 04:00:00,-1,-47,1467
2016-11-16 05:00:00,-2,-49,1468
2016-11-16 06:00:00,-4,-53,1470
2016-11-16 07:00:00,0,-53,1474
2016-11-17 01:00:00,22,-31,1474
2016-11-17 02:00:00,-16,-47,1452
2016-11-17 03:00:00,5,-42,1468
2016-11-17 04:00:00,1,-41,1463
2016-11-17 05:00:00,1,-40,1462
2016-11-17 06:00:00,-7,-47,1461
2016-11-17 07:00:00,1,-46,1468
2016-11-18 01:00:00,-10,-56,1467
2016-11-18 02:00:00,-3,-59,1477
2016-11-18 03:00:00,6,-53,1480
2016-11-18 04:00:00,0,-53,1474
2016-11-18 05:00:00,-3,-56,1474
2016-11-18 06:00:00,-3,-59,1477
2016-11-18 07:00:00,3,-56,1480
2016-11-21 01:00:00,-9,-65,1477
2016-11-21 02:00:00,4,-61,1486
2016-11-21 03:00:00,4,-57,1482
2016-11-21 04:00:00,-3,-60,1478
2016-11-21 05:00:00,-2,-62,1481
2016-11-21 06:00:00,2,-60,1483
2016-11-21 07:00:00,0,-60,1481
2016-11-22 01:00:00,-4,-64,1481
2016-11-22 02:00:00,-12,-76,1485
2016-11-22 03:00:00,5,-71,1497
2016-11-22 04:00:00,8,-63,1492
2016-11-22 05:00:00,-5,-68,1484
2016-11-22 06:00:00,0,-68,1489
2016-11-22 07:00:00,-1,-69,1489
2016-11-24 01:00:00,-23,-92,1490
2016-11-24 02:00:00,-2,-94,1513
2016-11-24 03:00:00,-1,-95,1515
2016-11-24 04:00:00,-1,-96,1516
2016-11-24 05:00:00,3,-93,1517
2016-11-24 06:00:00,3,-90,1514
2016-11-24 07:00:00,0,-90,1511
2016-11-25 01:00:00,-27,-117,1511
2016-11-25 02:00:00,6,-111,1538
2016-11-25 03:00:00,0,-111,1532
2016-11-25 04:00:00,9,-102,1532
2016-11-25 05:00:00,-2,-104,1523
2016-11-25 06:00:00,-4,-108,1525
2016-11-25 07:00:00,0,-108,1529
2016-11-28 01:00:00,-22,-130,1529
2016-11-28 02:00:00,-9,-139,1551
2016-11-28 03:00:00,4,-135,1560
2016-11-28 04:00:00,10,-125,1556
2016-11-28 05:00:00,-14,-139,1546
2016-11-28 06:00:00,0,-139,1560
2016-11-28 07:00:00,1,-138,1560
2016-11-29 01:00:00,4,-134,1559
2016-11-29 02:00:00,-1,-135,1555
2016-11-29 03:00:00,2,-133,1556
2016-11-29 04:00:00,-2,-135,1554
2016-11-29 05:00:00,0,-135,1556
2016-11-29 06:00:00,-2,-137,1556
2016-11-29 07:00:00,0,-137,1558
2016-11-30 01:00:00,-17,-154,1558
2016-11-30 02:00:00,0,-154,1575
2016-11-30 03:00:00,-1,-155,1575
2016-11-30 04:00:00,-2,-157,1576
2016-11-30 05:00:00,-1,-158,1578
2016-11-30 06:00:00,-2,-160,1579
2016-11-30 07:00:00,0,-160,1581
2016-12-01 01:00:00,-40,-200,1581
2016-12-01 02:00:00,-5,-205,1621
2016-12-01 03:00:00,5,-200,1626
2016-12-01 04:00:00,1,-199,1621
2016-12-01 05:00:00,1,-198,1620
2016-12-01 06:00:00,13,-185,1619
2016-12-01 07:00:00,-2,-187,1606
2016-12-02 01:00:00,4,-183,1608
2016-12-02 02:00:00,-4,-187,1604
2016-12-02 03:00:00,5,-182,1608
2016-12-02 04:00:00,-7,-189,1603
2016-12-02 05:00:00,2,-187,1610
2016-12-02 06:00:00,-8,-195,1608
2016-12-02 07:00:00,0,-195,1616
2016-12-05 01:00:00,28,-167,1616
2016-12-05 02:00:00,-5,-172,1588
2016-12-05 03:00:00,1,-171,1593
2016-12-05 04:00:00,-5,-176,1592
2016-12-05 05:00:00,-1,-177,1597
2016-12-05 06:00:00,3,-174,1598
2016-12-05 07:00:00,0,-174,1595
2016-12-06 01:00:00,-49,-223,1595
2016-12-06 02:00:00,2,-221,1644
2016-12-06 03:00:00,-3,-224,1642
2016-12-06 04:00:00,3,-221,1645
2016-12-06 05:00:00,2,-219,1642
2016-12-06 06:00:00,-1,-220,1640
2016-12-06 07:00:00,-2,-222,1641
2016-12-07 01:00:00,-18,-240,1643
2016-12-07 02:00:00,-1,-241,1661
2016-12-07 03:00:00,0,-241,1662
2016-12-07 04:00:00,-2,-243,1662
2016-12-07 05:00:00,-1,-244,1664
2016-12-07 06:00:00,-2,-246,1665
2016-12-07 07:00:00,-1,-247,1667
2016-12-08 01:00:00,-18,-265,1668
2016-12-08 02:00:00,12,-253,1686
2016-12-08 03:00:00,14,-239,1674
2016-12-08 04:00:00,-8,-247,1660
2016-12-08 05:00:00,-5,-252,1668
2016-12-08 06:00:00,-5,-257,1673
2016-12-08 07:00:00,3,-254,1678
2016-12-09 01:00:00,-11,-265,1675
2016-12-09 02:00:00,-1,-266,1686
2016-12-09 03:00:00,2,-264,1687
2016-12-09 04:00:00,2,-262,1685
2016-12-09 05:00:00,2,-260,1683
2016-12-09 06:00:00,-6,-266,1681
2016-12-09 07:00:00,1,-265,1687
2016-12-12 01:00:00,-13,-278,1686
2016-12-12 02:00:00,-6,-284,1699
2016-12-12 03:00:00,7,-277,1705
2016-12-12 04:00:00,7,-270,1698
2016-12-12 05:00:00,-4,-274,1691
2016-12-12 06:00:00,-1,-275,1695
2016-12-12 07:00:00,1,-274,1696
2016-12-13 01:00:00,27,-247,1695
2016-12-13 02:00:00,-16,-263,1668
2016-12-13 03:00:00,5,-258,1684
2016-12-13 04:00:00,6,-252,1679
2016-12-13 05:00:00,-8,-260,1673
2016-12-13 06:00:00,-1,-261,1681
2016-12-13 07:00:00,0,-261,1682
2016-12-14 01:00:00,14,-247,1682
2016-12-14 02:00:00,-3,-250,1668
2016-12-14 03:00:00,-2,-252,1671
2016-12-14 04:00:00,0,-252,1673
2016-12-14 05:00:00,1,-251,1673
2016-12-14 06:00:00,3,-248,1672
2016-12-14 07:00:00,2,-246,1669
2016-12-15 01:00:00,-4,-250,1667
2016-12-15 02:00:00,-6,-256,1671
2016-12-15 03:00:00,8,-248,1677
2016-12-15 04:00:00,4,-244,1669
2016-12-15 05:00:00,-10,-254,1665
2016-12-15 06:00:00,2,-252,1675
2016-12-15 07:00:00,0,-252,1673
2016-12-16 01:00:00,-6,-258,1673
2016-12-16 02:00:00,-5,-263,1679
2016-12-16 03:00:00,1,-262,1684
2016-12-16 04:00:00,-2,-264,1683
2016-12-16 05:00:00,-1,-265,1685
2016-12-16 06:00:00,2,-263,1686
2016-12-16 07:00:00,1,-262,1684
2016-12-19 01:00:00,-9,-271,1683
2016-12-19 02:00:00,-3,-274,1692
2016-12-19 03:00:00,0,-274,1695
2016-12-19 04:00:00,-1,-275,1695
2016-12-19 05:00:00,-2,-277,1696
2016-12-19 06:00:00,-3,-280,1698
2016-12-19 07:00:00,1,-279,1701
2016-12-20 01:00:00,-1,-280,1700
2016-12-20 02:00:00,-4,-284,1701
2016-12-20 03:00:00,-8,-292,1705
2016-12-20 04:00:00,-1,-293,1713
2016-12-20 05:00:00,-4,-297,1714
2016-12-20 06:00:00,-1,-298,1718
2016-12-20 07:00:00,1,-297,1719
2016-12-21 01:00:00,4,-293,1718
2016-12-21 02:00:00,0,-293,1714
2016-12-21 03:00:00,1,-292,1714
2016-12-21 04:00:00,0,-292,1713
2016-12-21 05:00:00,4,-288,1713
2016-12-21 06:00:00,9,-279,1709
2016-12-21 07:00:00,-1,-280,1700
2016-12-22 01:00:00,-18,-298,1701
2016-12-22 02:00:00,-26,-324,1719
2016-12-22 03:00:00,3,-321,1745
2016-12-22 04:00:00,1,-320,1742
2016-12-22 05:00:00,1,-319,1741
2016-12-22 06:00:00,-3,-322,1740
