,timeStamp,pl,accPL,lastPrice
0,2016-08-10 08:00:00,-0.25,-0.25,324.0
1,2016-08-10 09:00:00,1.25,1.0,324.25
2,2016-08-10 10:00:00,-0.5,0.5,323.0
3,2016-08-10 11:00:00,0.0,0.5,322.5
4,2016-08-10 12:00:00,0.75,1.25,322.5
5,2016-08-10 13:00:00,0.25,1.5,323.25
6,2016-08-10 14:00:00,-0.0,1.5,323.5
7,2016-08-10 15:00:00,0.0,1.5,323.5
8,2016-08-10 16:00:00,0.0,1.5,323.75
9,2016-08-10 17:00:00,0.0,1.5,324.5
10,2016-08-10 18:00:00,0.0,1.5,324.5
11,2016-08-10 19:00:00,-0.0,1.5,324.5
12,2016-08-11 00:00:00,0.0,1.5,322.5
13,2016-08-11 01:00:00,0.0,1.5,322.5
14,2016-08-11 02:00:00,-0.5,1.0,322.75
15,2016-08-11 03:00:00,-0.0,1.0,323.25
16,2016-08-11 04:00:00,-0.0,1.0,323.25
17,2016-08-11 05:00:00,0.25,1.25,323.0
18,2016-08-11 06:00:00,0.0,1.25,323.25
19,2016-08-11 07:00:00,0.0,1.25,323.25
20,2016-08-11 08:00:00,-0.0,1.25,323.25
21,2016-08-11 09:00:00,-0.0,1.25,322.25
22,2016-08-11 10:00:00,0.5,1.75,321.25
23,2016-08-11 11:00:00,-0.25,1.5,321.75
24,2016-08-11 12:00:00,0.25,1.75,321.5
25,2016-08-11 13:00:00,-2.0,-0.25,321.25
26,2016-08-11 14:00:00,-1.5,-1.75,323.25
27,2016-08-11 15:00:00,0.0,-1.75,321.75
28,2016-08-11 16:00:00,0.0,-1.75,321.75
29,2016-08-11 17:00:00,-0.0,-1.75,321.75
30,2016-08-11 18:00:00,-0.0,-1.75,321.5
31,2016-08-11 19:00:00,-0.25,-2.0,321.0
32,2016-08-12 00:00:00,0.25,-1.75,320.75
33,2016-08-12 01:00:00,0.25,-1.5,321.0
34,2016-08-12 02:00:00,0.0,-1.5,320.75
35,2016-08-12 03:00:00,0.0,-1.5,320.75
36,2016-08-12 04:00:00,-0.0,-1.5,320.75
37,2016-08-12 05:00:00,0.0,-1.5,320.75
38,2016-08-12 06:00:00,0.0,-1.5,320.75
39,2016-08-12 07:00:00,0.0,-1.5,320.75
40,2016-08-12 08:00:00,0.25,-1.25,321.0
41,2016-08-12 09:00:00,0.0,-1.25,320.75
42,2016-08-12 10:00:00,0.0,-1.25,320.75
43,2016-08-12 11:00:00,0.0,-1.25,320.75
44,2016-08-12 12:00:00,0.0,-1.25,321.25
45,2016-08-12 13:00:00,0.75,-0.5,321.5
46,2016-08-12 14:00:00,0.5,0.0,320.75
47,2016-08-12 15:00:00,0.25,0.25,320.25
48,2016-08-12 16:00:00,-1.0,-0.75,320.0
49,2016-08-12 17:00:00,-0.0,-0.75,319.0
50,2016-08-12 18:00:00,4.0,3.25,315.25
51,2016-08-12 19:00:00,-3.75,-0.5,319.25
52,2016-08-15 01:00:00,0.75,0.25,323.0
53,2016-08-15 02:00:00,-2.25,-2.0,322.25
54,2016-08-15 03:00:00,-0.5,-2.5,324.5
