timeStamp,pl,accPL,lastPrice
2016-08-10 08:00:00,0.25,0.25,324.0
2016-08-10 09:00:00,-1.25,-1.0,324.25
2016-08-10 10:00:00,-0.5,-1.5,323.0
2016-08-10 11:00:00,0.0,-1.5,322.5
2016-08-10 12:00:00,0.75,-0.75,322.5
2016-08-10 13:00:00,0.25,-0.5,323.25
2016-08-10 14:00:00,0.0,-0.5,323.5
2016-08-10 15:00:00,0.25,-0.25,323.5
2016-08-10 16:00:00,0.75,0.5,323.75
2016-08-10 17:00:00,0.0,0.5,324.5
2016-08-10 18:00:00,0.0,0.5,324.5
2016-08-10 19:00:00,-2.0,-1.5,324.5
2016-08-11 00:00:00,0.0,-1.5,322.5
2016-08-11 01:00:00,0.25,-1.25,322.5
2016-08-11 02:00:00,0.5,-0.75,322.75
2016-08-11 03:00:00,0.0,-0.75,323.25
2016-08-11 04:00:00,-0.25,-1.0,323.25
2016-08-11 05:00:00,0.25,-0.75,323.0
2016-08-11 06:00:00,0.0,-0.75,323.25
2016-08-11 07:00:00,0.0,-0.75,323.25
2016-08-11 08:00:00,-1.0,-1.75,323.25
2016-08-11 09:00:00,-1.0,-2.75,322.25
2016-08-11 10:00:00,0.5,-2.25,321.25
2016-08-11 11:00:00,-0.25,-2.5,321.75
2016-08-11 12:00:00,-0.25,-2.75,321.5
2016-08-11 13:00:00,2.0,-0.75,321.25
2016-08-11 14:00:00,-1.5,-2.25,323.25
2016-08-11 15:00:00,0.0,-2.25,321.75
2016-08-11 16:00:00,0.0,-2.25,321.75
2016-08-11 17:00:00,-0.25,-2.5,321.75
2016-08-11 18:00:00,-0.5,-3.0,321.5
2016-08-11 19:00:00,-0.25,-3.25,321.0
2016-08-12 00:00:00,0.25,-3.0,320.75
2016-08-12 01:00:00,-0.25,-3.25,321.0
2016-08-12 02:00:00,0.0,-3.25,320.75
2016-08-12 03:00:00,0.0,-3.25,320.75
2016-08-12 04:00:00,0.0,-3.25,320.75
2016-08-12 05:00:00,0.0,-3.25,320.75
2016-08-12 06:00:00,0.0,-3.25,320.75
2016-08-12 07:00:00,0.25,-3.0,320.75
2016-08-12 08:00:00,-0.25,-3.25,321.0
2016-08-12 09:00:00,0.0,-3.25,320.75
2016-08-12 10:00:00,0.0,-3.25,320.75
2016-08-12 11:00:00,0.5,-2.75,320.75
2016-08-12 12:00:00,0.25,-2.5,321.25
2016-08-12 13:00:00,-0.75,-3.25,321.5
2016-08-12 14:00:00,-0.5,-3.75,320.75
2016-08-12 15:00:00,-0.25,-4.0,320.25
2016-08-12 16:00:00,-1.0,-5.0,320.0
2016-08-12 17:00:00,-3.75,-8.75,319.0
2016-08-12 18:00:00,4.0,-4.75,315.25
2016-08-12 19:00:00,3.75,-1.0,319.25
2016-08-15 01:00:00,-0.75,-1.75,323.0
2016-08-15 02:00:00,2.25,0.5,322.25
2016-08-15 03:00:00,0.5,1.0,324.5
2016-08-15 04:00:00,-0.25,0.75,325.0
2016-08-15 05:00:00,0.0,0.75,324.75
2016-08-15 06:00:00,0.0,0.75,324.75
2016-08-15 07:00:00,2.0,2.75,324.75
2016-08-15 08:00:00,0.0,2.75,326.75
2016-08-15 09:00:00,-0.25,2.5,326.75
