timeStamp,pl,accPL,lastPrice
2016-08-10 10:00:00,30,30,16740
2016-08-10 11:00:00,0,30,16710
2016-08-10 12:00:00,0,30,16710
2016-08-10 13:00:00,20,50,16710
2016-08-10 14:00:00,0,50,16690
2016-08-10 15:00:00,-10,40,16690
2016-08-10 16:00:00,20,60,16700
2016-08-10 17:00:00,10,70,16680
2016-08-10 18:00:00,0,70,16670
2016-08-10 19:00:00,0,70,16670
2016-08-10 20:00:00,20,90,16670
2016-08-10 21:00:00,0,90,16650
2016-08-12 00:00:00,-160,-70,16650
2016-08-12 01:00:00,-50,-120,16810
2016-08-12 02:00:00,10,-110,16860
2016-08-12 03:00:00,10,-100,16850
2016-08-12 04:00:00,-40,-140,16840
2016-08-12 05:00:00,-20,-160,16880
2016-08-12 06:00:00,0,-160,16900
2016-08-12 07:00:00,-20,-180,16900
2016-08-12 08:00:00,30,-150,16920
2016-08-12 09:00:00,20,-130,16890
2016-08-12 10:00:00,-20,-150,16870
2016-08-12 11:00:00,0,-150,16890
2016-08-12 12:00:00,0,-150,16890
2016-08-12 13:00:00,-100,-250,16890
2016-08-12 14:00:00,0,-250,16790
2016-08-12 15:00:00,0,-250,16790
2016-08-12 16:00:00,10,-240,16790
2016-08-12 17:00:00,-10,-250,16780
2016-08-12 18:00:00,0,-250,16790
2016-08-12 19:00:00,20,-230,16790
2016-08-12 20:00:00,10,-220,16810
2016-08-12 21:00:00,-20,-240,16800
2016-08-15 00:00:00,-30,-270,16820
2016-08-15 01:00:00,-30,-300,16850
2016-08-15 02:00:00,-30,-330,16880
2016-08-15 03:00:00,10,-320,16910
2016-08-15 04:00:00,-70,-390,16920
2016-08-15 05:00:00,-20,-410,16850
2016-08-15 06:00:00,-30,-440,16870
2016-08-15 07:00:00,-30,-470,16840
2016-08-15 08:00:00,0,-470,16870
2016-08-15 09:00:00,20,-450,16860
2016-08-15 10:00:00,0,-450,16840
2016-08-15 11:00:00,10,-440,16840
2016-08-15 12:00:00,0,-440,16850
2016-08-15 13:00:00,0,-440,16850
2016-08-15 14:00:00,0,-440,16860
2016-08-15 15:00:00,10,-430,16860
2016-08-15 16:00:00,0,-430,16870
2016-08-15 17:00:00,-10,-440,16880
2016-08-15 18:00:00,10,-430,16890
2016-08-15 19:00:00,0,-430,16880
2016-08-15 20:00:00,0,-430,16880
2016-08-15 21:00:00,10,-420,16880
2016-08-16 00:00:00,-10,-430,16870
2016-08-16 01:00:00,50,-380,16880
2016-08-16 02:00:00,30,-350,16830
2016-08-16 03:00:00,-90,-440,16800
2016-08-16 04:00:00,-40,-480,16710
2016-08-16 05:00:00,-40,-520,16670
2016-08-16 06:00:00,0,-520,16710
2016-08-16 07:00:00,-10,-530,16590
2016-08-16 08:00:00,20,-510,16600
2016-08-16 09:00:00,10,-500,16580
2016-08-16 10:00:00,-10,-510,16570
2016-08-16 11:00:00,10,-500,16580
2016-08-16 12:00:00,20,-480,16570
2016-08-16 13:00:00,10,-470,16550
2016-08-16 14:00:00,-50,-520,16540
2016-08-16 15:00:00,0,-520,16590
2016-08-16 16:00:00,0,-520,16590
2016-08-16 17:00:00,0,-520,16590
2016-08-16 18:00:00,40,-480,16590
2016-08-16 19:00:00,-10,-490,16550
2016-08-16 20:00:00,-10,-500,16560
2016-08-16 21:00:00,-30,-530,16550
2016-08-17 00:00:00,10,-520,16580
2016-08-17 01:00:00,-70,-590,16590
2016-08-17 02:00:00,-20,-610,16660
2016-08-17 03:00:00,20,-590,16680
2016-08-17 04:00:00,-20,-610,16660
2016-08-17 05:00:00,-10,-620,16680
2016-08-17 06:00:00,40,-580,16690
2016-08-17 07:00:00,20,-560,16730
2016-08-17 08:00:00,-90,-650,16750
2016-08-17 09:00:00,0,-650,16660
2016-08-17 10:00:00,-20,-670,16660
2016-08-17 11:00:00,-20,-690,16680
2016-08-17 12:00:00,-10,-700,16660
2016-08-17 13:00:00,-10,-710,16650
2016-08-17 14:00:00,70,-640,16660
2016-08-17 15:00:00,-20,-660,16590
2016-08-17 16:00:00,10,-650,16570
2016-08-17 17:00:00,-40,-690,16560
2016-08-17 18:00:00,-10,-700,16600
2016-08-17 19:00:00,20,-680,16610
