timeStamp,pl,accPL,lastPrice
2016-08-12 14:00:00,-0.5,-0.5,1012.0
2016-08-12 15:00:00,6.25,5.75,1012.5
2016-08-12 16:00:00,3.25,9.0,1006.25
2016-08-12 17:00:00,8.5,17.5,1003.0
2016-08-15 01:00:00,-4.0,13.5,994.5
2016-08-15 02:00:00,-13.75,-0.25,998.5
2016-08-15 03:00:00,-1.75,-2.0,1012.25
2016-08-15 04:00:00,-0.0,-2.0,1014.0
2016-08-15 05:00:00,-0.25,-2.25,1014.0
2016-08-15 06:00:00,-1.5,-3.75,1014.25
2016-08-15 07:00:00,-4.25,-8.0,1015.75
2016-08-15 08:00:00,0.5,-7.5,1020.0
2016-08-15 09:00:00,2.25,-5.25,1019.5
2016-08-15 10:00:00,0.25,-5.0,1017.25
2016-08-15 11:00:00,-0.0,-5.0,1017.0
2016-08-15 12:00:00,1.5,-3.5,1017.0
2016-08-15 13:00:00,-0.5,-4.0,1015.5
2016-08-15 14:00:00,-5.5,-9.5,1016.0
2016-08-15 15:00:00,3.5,-6.0,1021.5
2016-08-15 16:00:00,-3.75,-9.75,1018.0
2016-08-15 17:00:00,-0.25,-10.0,1021.75
2016-08-15 18:00:00,-2.25,-12.25,1022.0
2016-08-15 19:00:00,1.0,-11.25,1024.25
2016-08-15 22:00:00,-0.5,-11.75,1023.25
2016-08-16 00:00:00,-0.0,-11.75,1023.75
2016-08-16 01:00:00,-2.5,-14.25,1023.75
2016-08-16 02:00:00,5.0,-9.25,1026.25
2016-08-16 03:00:00,-0.75,-10.0,1021.25
2016-08-16 04:00:00,-1.25,-11.25,1022.0
2016-08-16 05:00:00,-0.75,-12.0,1023.25
2016-08-16 06:00:00,0.75,-11.25,1024.0
2016-08-16 07:00:00,-0.0,-11.25,1023.25
2016-08-16 08:00:00,-1.25,-12.5,1023.25
2016-08-16 09:00:00,-0.75,-13.25,1024.5
2016-08-16 10:00:00,2.75,-10.5,1025.25
2016-08-16 11:00:00,-0.25,-10.75,1022.5
2016-08-16 12:00:00,-2.5,-13.25,1022.75
2016-08-16 13:00:00,-0.75,-14.0,1025.25
2016-08-16 14:00:00,9.25,-4.75,1026.0
2016-08-16 15:00:00,-1.5,-6.25,1016.75
2016-08-16 16:00:00,-4.75,-11.0,1018.25
2016-08-16 17:00:00,0.75,-10.25,1023.0
2016-08-16 18:00:00,2.25,-8.0,1022.25
2016-08-16 19:00:00,-0.5,-8.5,1020.0
2016-08-16 22:00:00,1.0,-7.5,1020.5
2016-08-17 00:00:00,-0.0,-7.5,1019.5
2016-08-17 01:00:00,-0.25,-7.75,1019.5
2016-08-17 02:00:00,1.5,-6.25,1019.75
2016-08-17 03:00:00,0.25,-6.0,1018.25
2016-08-17 04:00:00,-0.5,-6.5,1018.0
2016-08-17 05:00:00,-2.5,-9.0,1018.5
2016-08-17 06:00:00,-1.0,-10.0,1021.0
2016-08-17 07:00:00,-0.25,-10.25,1022.0
2016-08-17 08:00:00,-1.0,-11.25,1022.25
2016-08-17 09:00:00,0.25,-11.0,1023.25
2016-08-17 10:00:00,-0.0,-11.0,1023.0
2016-08-17 11:00:00,0.5,-10.5,1023.0
2016-08-17 12:00:00,-2.75,-13.25,1022.5
2016-08-17 13:00:00,1.75,-11.5,1025.25
2016-08-17 14:00:00,1.25,-10.25,1023.5
2016-08-17 15:00:00,-5.25,-15.5,1022.25
2016-08-17 16:00:00,-0.75,-16.25,1027.5
2016-08-17 17:00:00,0.5,-15.75,1028.25
2016-08-17 18:00:00,0.25,-15.5,1027.75
2016-08-17 19:00:00,-2.5,-18.0,1027.5
2016-08-17 22:00:00,-0.5,-18.5,1030.0
2016-08-18 01:00:00,0.75,-17.75,1030.5
2016-08-18 02:00:00,-1.25,-19.0,1029.75
2016-08-18 03:00:00,0.5,-18.5,1031.0
2016-08-18 04:00:00,-2.0,-20.5,1030.5
2016-08-18 05:00:00,0.5,-20.0,1032.5
2016-08-18 06:00:00,6.25,-13.75,1032.0
2016-08-18 07:00:00,3.25,-10.5,1025.75
2016-08-18 08:00:00,-1.5,-12.0,1022.5
2016-08-18 09:00:00,1.75,-10.25,1024.0
2016-08-18 10:00:00,-1.25,-11.5,1022.25
2016-08-18 11:00:00,3.25,-8.25,1023.5
2016-08-18 12:00:00,-0.75,-9.0,1020.25
2016-08-18 13:00:00,-1.5,-10.5,1021.0
2016-08-18 14:00:00,7.5,-3.0,1022.5
2016-08-18 15:00:00,-2.5,-5.5,1015.0
2016-08-18 16:00:00,-1.0,-6.5,1017.5
2016-08-18 17:00:00,-11.25,-17.75,1018.5
2016-08-18 18:00:00,-0.75,-18.5,1029.75
2016-08-18 19:00:00,-1.25,-19.75,1030.5
2016-08-18 22:00:00,-0.5,-20.25,1031.75
2016-08-19 00:00:00,-0.0,-20.25,1032.25
2016-08-19 01:00:00,1.25,-19.0,1032.25
2016-08-19 02:00:00,3.5,-15.5,1031.0
2016-08-19 03:00:00,8.5,-7.0,1027.5
2016-08-19 04:00:00,-3.0,-10.0,1019.0
2016-08-19 05:00:00,-1.5,-11.5,1022.0
2016-08-19 06:00:00,2.75,-8.75,1023.5
2016-08-19 07:00:00,-3.0,-11.75,1020.75
2016-08-19 08:00:00,1.0,-10.75,1023.75
2016-08-19 09:00:00,0.25,-10.5,1022.75
2016-08-19 10:00:00,1.75,-8.75,1022.5
2016-08-19 11:00:00,3.25,-5.5,1020.75
2016-08-19 12:00:00,-2.5,-8.0,1017.5
2016-08-19 13:00:00,-1.5,-9.5,1020.0
2016-08-19 14:00:00,-5.5,-15.0,1021.5
2016-08-19 15:00:00,1.5,-13.5,1027.0
2016-08-19 16:00:00,-4.75,-18.25,1025.5
2016-08-19 17:00:00,-0.25,-18.5,1030.25
2016-08-19 18:00:00,2.0,-16.5,1030.5
2016-08-19 19:00:00,1.0,-15.5,1028.5
2016-08-22 01:00:00,1.0,-14.5,1027.5
2016-08-22 02:00:00,-4.75,-19.25,1026.5
2016-08-22 03:00:00,-0.0,-19.25,1031.25
2016-08-22 04:00:00,2.5,-16.75,1031.25
2016-08-22 05:00:00,1.25,-15.5,1028.75
2016-08-22 06:00:00,0.25,-15.25,1027.5
2016-08-22 07:00:00,-1.25,-16.5,1027.25
2016-08-22 08:00:00,-1.25,-17.75,1028.5
2016-08-22 09:00:00,-1.0,-18.75,1029.75
2016-08-22 10:00:00,-0.75,-19.5,1030.75
2016-08-22 11:00:00,1.0,-18.5,1031.5
2016-08-22 12:00:00,0.75,-17.75,1030.5
2016-08-22 13:00:00,5.75,-12.0,1029.75
2016-08-22 14:00:00,-7.75,-19.75,1024.0
