timeStamp,pl,accPL,lastPrice
2016-10-21 04:00:00,20,20,6608
2016-10-21 05:00:00,-2,18,6588
2016-10-21 06:00:00,20,38,6590
2016-10-21 07:00:00,-3,35,6570
2016-10-24 01:00:00,-3,32,6573
2016-10-24 02:00:00,31,63,6576
2016-10-24 03:00:00,22,85,6545
2016-10-24 04:00:00,-3,82,6523
2016-10-24 05:00:00,1,83,6526
2016-10-24 06:00:00,4,87,6525
2016-10-24 07:00:00,-3,84,6521
2016-10-25 01:00:00,-29,55,6524
2016-10-25 02:00:00,19,74,6553
2016-10-25 03:00:00,-9,65,6534
2016-10-25 04:00:00,2,67,6543
2016-10-25 05:00:00,20,87,6541
2016-10-25 06:00:00,-11,76,6521
2016-10-25 07:00:00,1,77,6532
2016-10-26 01:00:00,-18,59,6531
2016-10-26 02:00:00,-12,47,6549
2016-10-26 03:00:00,8,55,6561
2016-10-26 04:00:00,-23,32,6553
2016-10-26 05:00:00,13,45,6576
2016-10-26 06:00:00,-23,22,6563
2016-10-26 07:00:00,1,23,6586
2016-10-27 01:00:00,20,43,6585
2016-10-27 02:00:00,-18,25,6565
2016-10-27 03:00:00,3,28,6583
2016-10-27 04:00:00,3,31,6580
2016-10-27 05:00:00,-9,22,6577
2016-10-27 06:00:00,-36,-14,6586
2016-10-27 07:00:00,0,-14,6622
2016-10-28 01:00:00,-25,-39,6622
2016-10-28 02:00:00,-20,-59,6647
2016-10-28 03:00:00,-10,-69,6667
2016-10-28 04:00:00,-9,-78,6677
2016-10-28 05:00:00,-1,-79,6668
2016-10-28 06:00:00,-13,-92,6669
2016-10-28 07:00:00,2,-90,6656
2016-10-31 01:00:00,79,-11,6654
2016-10-31 02:00:00,-1,-12,6575
2016-10-31 03:00:00,-1,-13,6576
2016-10-31 04:00:00,-6,-19,6577
2016-10-31 05:00:00,-6,-25,6583
2016-10-31 06:00:00,20,-5,6589
2016-10-31 07:00:00,-7,-12,6609
2016-11-01 01:00:00,-22,-34,6602
2016-11-01 02:00:00,-47,-81,6580
2016-11-01 03:00:00,-16,-97,6627
2016-11-01 04:00:00,7,-90,6611
2016-11-01 05:00:00,-38,-128,6618
2016-11-01 06:00:00,-35,-163,6580
2016-11-01 07:00:00,6,-157,6545
2016-11-02 01:00:00,112,-45,6539
2016-11-02 02:00:00,28,-17,6427
2016-11-02 03:00:00,26,9,6399
2016-11-02 04:00:00,36,45,6373
2016-11-02 05:00:00,19,64,6337
2016-11-02 06:00:00,-29,35,6318
2016-11-02 07:00:00,-2,33,6347
2016-11-04 01:00:00,103,136,6349
2016-11-04 02:00:00,21,157,6246
2016-11-04 03:00:00,-37,120,6225
2016-11-04 04:00:00,29,149,6262
2016-11-04 05:00:00,4,153,6233
2016-11-04 06:00:00,-4,149,6229
2016-11-04 07:00:00,-3,146,6233
2016-11-07 01:00:00,-70,76,6236
2016-11-07 02:00:00,-16,60,6306
2016-11-07 03:00:00,-16,44,6322
2016-11-07 04:00:00,-16,28,6338
2016-11-07 05:00:00,9,37,6354
2016-11-07 06:00:00,-26,11,6345
2016-11-07 07:00:00,7,18,6371
2016-11-08 01:00:00,-127,-109,6364
2016-11-08 02:00:00,73,-36,6491
2016-11-08 03:00:00,-20,-56,6418
2016-11-08 04:00:00,-29,-85,6438
2016-11-08 05:00:00,2,-83,6467
2016-11-08 06:00:00,22,-61,6465
2016-11-08 07:00:00,-2,-63,6443
2016-11-09 01:00:00,-29,-92,6445
2016-11-09 02:00:00,132,40,6474
2016-11-09 03:00:00,111,151,6342
2016-11-09 04:00:00,141,292,6231
2016-11-09 05:00:00,83,375,6090
2016-11-09 06:00:00,-23,352,6007
2016-11-09 07:00:00,7,359,6030
2016-11-10 01:00:00,-383,-24,6023
2016-11-10 02:00:00,-56,-80,6406
2016-11-10 03:00:00,-40,-120,6462
2016-11-10 04:00:00,-17,-137,6502
2016-11-10 05:00:00,-54,-191,6519
2016-11-10 06:00:00,3,-188,6573
2016-11-10 07:00:00,-4,-192,6570
2016-11-11 01:00:00,117,-75,6574
2016-11-11 02:00:00,-66,-141,6691
2016-11-11 03:00:00,40,-101,6625
2016-11-11 04:00:00,-13,-114,6585
2016-11-11 05:00:00,41,-73,6598
2016-11-11 06:00:00,7,-66,6557
2016-11-11 07:00:00,3,-63,6550
2016-11-14 01:00:00,-62,-125,6547
2016-11-14 02:00:00,43,-82,6609
2016-11-14 03:00:00,-24,-106,6566
2016-11-14 04:00:00,3,-103,6590
2016-11-14 05:00:00,1,-102,6587
2016-11-14 06:00:00,-11,-113,6586
2016-11-14 07:00:00,0,-113,6575
2016-11-15 01:00:00,46,-67,6575
2016-11-15 02:00:00,-15,-82,6529
2016-11-15 03:00:00,-6,-88,6544
2016-11-15 04:00:00,19,-69,6538
2016-11-15 05:00:00,5,-64,6557
2016-11-15 06:00:00,2,-62,6552
2016-11-15 07:00:00,-2,-64,6550
2016-11-16 01:00:00,-160,-224,6552
2016-11-16 02:00:00,-7,-231,6712
2016-11-16 03:00:00,4,-227,6705
2016-11-16 04:00:00,33,-194,6709
2016-11-16 05:00:00,11,-183,6676
2016-11-16 06:00:00,-10,-193,6665
2016-11-16 07:00:00,-5,-198,6675
2016-11-17 01:00:00,-11,-209,6680
2016-11-17 02:00:00,-65,-274,6669
2016-11-17 03:00:00,-4,-278,6734
2016-11-17 04:00:00,1,-277,6738
2016-11-17 05:00:00,-12,-289,6737
2016-11-17 06:00:00,18,-271,6749
2016-11-17 07:00:00,-2,-273,6731
2016-11-18 01:00:00,-76,-349,6733
