id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	acreageCultivated	agDisease	subsidies	subsidiesSentiment	weatherDamage
mp:2017-08-14_10.00.00.Social.COM_AGR.CTTL	CTTL	2017-08-14T10:00:00.000Z	Social	2.2.19	160.0	0.129262	-0.243750	-0.012500		0.006250		0.075000	-0.037500	0.093750	0.087500	0.025000	0.012500	0.140625	0.012500		0.012500		0.081250		-0.025000		0.012500						
mp:2017-08-14_10.00.00.Social.COM_AGR.COF	COF	2017-08-14T10:00:00.000Z	Social	2.2.19	89.0	0.071902	0.044944	-0.011236			0.002809	0.011236	0.044944	0.011236	0.089888	0.039326		0.137640	-0.039326				0.033708	0.011236	0.022472		-0.033708						0.044944
mp:2017-08-14_10.00.00.Social.COM_AGR.COR	COR	2017-08-14T10:00:00.000Z	Social	2.2.19	266.0	0.214897	-0.204887	-0.015038	0.018797	0.022556	-0.003759	0.018797	-0.015038	0.037594	0.071429	0.001880	0.018797	0.151316	-0.015038		-0.007519		0.037594		-0.018797		-0.015038	-0.007519					0.033835
mp:2017-08-14_10.00.00.Social.COM_AGR.COT	COT	2017-08-14T10:00:00.000Z	Social	2.2.19	146.5	0.118355	-0.215017	-0.034130			-0.003413	0.051195	0.092150	0.034130	0.075085	-0.003413	0.023891	0.140785	-0.006826				0.006826		0.020478		0.013652		0.006826				0.006826
mp:2017-08-14_10.00.00.Social.COM_AGR.HOGS	HOGS	2017-08-14T10:00:00.000Z	Social	2.2.19	35.5	0.028680	-0.309859					0.028169	0.042254	0.197183	0.112676	-0.028169	0.056338	0.137324					0.056338		0.000000		0.028169						
mp:2017-08-14_10.00.00.Social.COM_AGR.ORJ	ORJ	2017-08-14T10:00:00.000Z	Social	2.2.19	11.0	0.008887	-0.363636			-0.090909			-0.363636			-0.090909		0.068182	-0.090909														
mp:2017-08-14_10.00.00.Social.COM_AGR.RICE1	RICE1	2017-08-14T10:00:00.000Z	Social	2.2.19	157.5	0.127242	-0.142857	-0.044444		0.006349		0.031746	0.069841		0.076190	-0.012698	0.019048	0.150000	0.019048						0.082540		-0.031746						0.006349
mp:2017-08-14_10.00.00.Social.COM_AGR.SOY1	SOY1	2017-08-14T10:00:00.000Z	Social	2.2.19	80.8	0.065277	-0.173267	0.000000					0.012376	0.024752	0.024752	-0.012376	0.012376	0.053218	0.024752				0.096535		0.086634		0.000000		0.012376				
mp:2017-08-14_10.00.00.Social.COM_AGR.SUG	SUG	2017-08-14T10:00:00.000Z	Social	2.2.19	145.0	0.117143	-0.141379	0.027586			0.003448	0.006897	0.062069	0.006897	0.093103	0.013793		0.198276	0.006897				0.027586	0.013793	0.006897		0.000000		-0.013793				
mp:2017-08-14_10.00.00.Social.COM_AGR.WHT	WHT	2017-08-14T10:00:00.000Z	Social	2.2.19	146.5	0.118355	-0.153584	-0.054608	0.006826			0.027304	-0.034130	0.027304	0.098976	-0.075085	0.034130	0.094710	-0.027304	-0.013652			0.037543		0.013652		-0.013652	-0.013652	0.040956				0.013652
