id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2017-08-15_17.00.00.News_Social.COM_ENM.ALU	ALU	2017-08-15T17:00:00.000Z	News_Social	2.2.19	1588.0	0.029330	-0.156486	-0.043451	0.005668	0.002519	-0.007872	0.013854	0.008816	0.037783	0.052267	0.024244	0.039358	0.172308	-0.001574		0.003149	-0.002519	0.023300	0.003778	0.000630		-0.023615	-0.000630		
mp:2017-08-15_17.00.00.News_Social.COM_ENM.BIOF	BIOF	2017-08-15T17:00:00.000Z	News_Social	2.2.19	299.0	0.005522	0.311037	0.100334			0.032609		-0.076923	0.016722	0.026756	-0.003344	0.020067	0.168896	0.026756	0.003344	0.003344		0.013378	0.010033	0.040134		-0.013378		0.000000	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.COA	COA	2017-08-15T17:00:00.000Z	News_Social	2.2.19	3432.0	0.063388	-0.162587	-0.023601	0.010052	0.005245	-0.002987	0.042541	0.017628	0.031177	0.093386	0.010344	0.016171	0.155441	0.000146	0.001603	0.000583		0.027564	0.000874	-0.013112	0.016026	-0.020833	-0.000146	0.004808	0.000583
mp:2017-08-15_17.00.00.News_Social.COM_ENM.CPPR	CPPR	2017-08-15T17:00:00.000Z	News_Social	2.2.19	1718.8	0.031746	-0.138178	-0.001164	0.001745	0.008145	0.007636	0.007854	0.031126	0.018618	0.034908	-0.001164	0.025599	0.156505	0.005236	0.001164	0.051780		0.027345		-0.001745	0.003491	-0.013963		0.012800	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.CRU	CRU	2017-08-15T17:00:00.000Z	News_Social	2.2.19	15422.4	0.284845	-0.294863	-0.011217	0.013617	0.001589	-0.000430	0.004539	-0.019582	0.047366	0.077582	-0.004182	0.008689	0.145668	0.001459	-0.000324	-0.002756	-0.000324	0.058311	0.000000	-0.002107	0.000908	0.000454	-0.001426	0.002075	0.000065
mp:2017-08-15_17.00.00.News_Social.COM_ENM.BIOETH	BIOETH	2017-08-15T17:00:00.000Z	News_Social	2.2.19	192.8	0.003561	0.093361	0.025934		0.020747	0.012967	0.010373	0.010373	0.031120	0.038900	0.005187	0.036307	0.120851	-0.002593		0.010373		0.035270	0.010373	0.051867		-0.041494			
mp:2017-08-15_17.00.00.News_Social.COM_ENM.MOG	MOG	2017-08-15T17:00:00.000Z	News_Social	2.2.19	2808.9	0.051879	-0.173021	0.001602	0.021005	0.000712	0.003916	0.025989	0.007120	0.046993	0.065506	-0.000356	0.017267	0.135044	0.009968	-0.000356	0.007476	0.006408	0.035957	0.000356	0.008366		0.025989	-0.001424	0.000712	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.GOL	GOL	2017-08-15T17:00:00.000Z	News_Social	2.2.19	13509.3	0.249511	-0.187278	-0.006810	0.008883	0.006181	0.004700	0.023391	-0.006847	0.021652	0.082240	0.010548	0.026426	0.179517	0.005330	-0.000740	0.000259	0.000370	0.025886	0.000444	0.001814		-0.016063	-0.000888	0.009808	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.HOIL	HOIL	2017-08-15T17:00:00.000Z	News_Social	2.2.19	150.2	0.002774	-0.259654				0.003329					0.053262		0.122836			-0.026631	0.039947	0.001332	-0.006658			0.079893			
mp:2017-08-15_17.00.00.News_Social.COM_ENM.IRN	IRN	2017-08-15T17:00:00.000Z	News_Social	2.2.19	3068.0	0.056665	-0.210235	0.007660	0.014505	0.002282	0.004074	0.034387	0.019068	0.034550	0.096643	0.001141	0.013038	0.150147	-0.015319		-0.016623		0.027086	0.000652	-0.015971		-0.018416	0.003259	0.001956	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.JET	JET	2017-08-15T17:00:00.000Z	News_Social	2.2.19	186.2	0.003439	-0.214823						-0.053706		0.021482	0.064447	0.010741	0.051289			0.010741		0.009667				0.118153			
mp:2017-08-15_17.00.00.News_Social.COM_ENM.LNG	LNG	2017-08-15T17:00:00.000Z	News_Social	2.2.19	209.4	0.003868	-0.033429	0.019102			0.002388		-0.004776	0.038204	0.019102	0.033429	0.014327	0.113897	-0.004776	0.009551	-0.019102		0.025788		0.009551		0.033429	0.004776	0.009551	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.NAP	NAP	2017-08-15T17:00:00.000Z	News_Social	2.2.19	47.0	0.000868	-0.127660							-0.021277	-0.042553			-0.132979					0.595745							
mp:2017-08-15_17.00.00.News_Social.COM_ENM.NGS	NGS	2017-08-15T17:00:00.000Z	News_Social	2.2.19	2376.3	0.043889	-0.106258	0.014308	0.002946	0.001262	0.002841	0.029247	0.003787	0.048184	0.093423	0.005892	0.024829	0.148193	0.005681	0.001262	-0.000421		0.044691	0.018095	0.017885		0.000210	0.000421	0.011783	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.NKL	NKL	2017-08-15T17:00:00.000Z	News_Social	2.2.19	628.2	0.011603	-0.324737	-0.014327		0.003184	0.002388	0.006367	0.000000	0.050939	0.074817	0.002388	0.022286	0.142590	0.000000				0.017829		-0.008755		0.037408		0.004776	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.NSEA	NSEA	2017-08-15T17:00:00.000Z	News_Social	2.2.19	1088.7	0.020108	-0.380270	-0.025719	0.005511			0.007348	-0.059704	0.052356	0.060623	-0.055112	0.007348	0.152544	-0.004593		0.011941		0.073207		-0.000919		0.016533	0.007348	0.000919	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.PALL	PALL	2017-08-15T17:00:00.000Z	News_Social	2.2.19	133.0	0.002456	-0.187970	0.037594					0.022556	0.015038	0.007519	-0.022556	0.007519	0.193609	-0.007519				0.037594		0.060150					
mp:2017-08-15_17.00.00.News_Social.COM_ENM.PLAT	PLAT	2017-08-15T17:00:00.000Z	News_Social	2.2.19	551.5	0.010186	-0.313690	-0.006346		0.014506	0.007253	0.014506	0.023572	0.019946	0.030825	0.012693	0.015413	0.206482	0.019946		0.001813		0.009066		0.005440		-0.004533		0.001813	
mp:2017-08-15_17.00.00.News_Social.COM_ENM.RAREE	RAREE	2017-08-15T17:00:00.000Z	News_Social	2.2.19	159.0	0.002937	-0.078616	-0.025157			0.009434	0.062893	-0.047170		0.100629	0.000000	0.088050	0.113208			0.069182		0.056604		-0.044025		-0.050314	-0.037736		
mp:2017-08-15_17.00.00.News_Social.COM_ENM.SLVR	SLVR	2017-08-15T17:00:00.000Z	News_Social	2.2.19	1859.6	0.034346	-0.093300	0.000000	0.003227	0.003227	0.003361	0.035760	-0.003495	0.028501	0.039525	-0.004033	0.043289	0.154119	-0.010755	0.000538	0.004571	0.000000	0.036352	0.000538	0.001076		-0.007797	0.002151	0.019897	
