id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	loveHate	anger	debtDefault	innovation	marketRisk	budgetDeficit	businessExpansion	centralBank	commercialRealEstateSentiment	consumerSentiment	creditEasyVsTight	economicGrowth	economicUncertainty	economicVolatility	financialSystemInstability	fiscalPolicyLooseVsTight	governmentAnger	governmentCorruption	governmentInstability	inflation	inflationForecast	interestRates	interestRatesForecast	investmentFlows	monetaryPolicyLooseVsTight	naturalDisasters	regimeChange	residentialRealEstateGrowth	residentialRealEstateSales	residentialRealEstateSentiment	residentialRealEstateValues	sanctions	socialInequality	socialUnrest	tradeBalance	unemployment
mp:2017-08-10_22.00.00.News.COU.AF	AF	2017-08-10T22:00:00.000Z	News	2.2.18	3925.1	0.002430	-0.111462	0.001274	0.004841		-0.002357	0.211332	0.029808	0.021019	0.072227	0.009044	0.019617	0.046066	0.000637	0.008535	0.000255	0.000510	-0.007694		0.000255				-0.001146	0.009172	-0.000255	-0.001019			0.001783	0.001401	0.004968	0.000255		0.002038				0.002675								0.017197	-0.000510	
mp:2017-08-10_22.00.00.News.COU.DZ	DZ	2017-08-10T22:00:00.000Z	News	2.2.18	895.4	0.000554	-0.060867	-0.007259	0.004467	0.003350	0.002652	0.076502	0.051374	0.016752	0.032946	0.020103	0.033505	0.050201	0.011168	0.001117	-0.002234	0.001117	-0.005305		0.005584				-0.001117	0.021220	0.003350	0.018986		-0.005584			0.028702	0.006701	0.002234						0.000223	0.004467		0.000558				0.022895	-0.002234	
mp:2017-08-10_22.00.00.News.COU.AO	AO	2017-08-10T22:00:00.000Z	News	2.2.18	389.6	0.000241	0.019251	0.007700	0.005133	0.005133	0.004492	0.071869	0.024384	0.020534	0.120637	0.061602	0.043634	0.065773	0.005133				-0.014630							0.071869	0.000000	0.020534					0.007700															0.010267		
mp:2017-08-10_22.00.00.News.COU.AR	AR	2017-08-10T22:00:00.000Z	News	2.2.18	2284.2	0.001414	-0.067857	0.002189	0.009412	0.001313	0.001149	0.037869	0.019044	0.027581	0.060196	0.018606	0.026049	0.063660	-0.000219	0.017949	0.001970	0.003065	-0.021342		0.001751	0.003502		0.001313	0.002627	0.043341	0.001094	0.008624				0.000219	0.014228	0.008318	0.001313	0.000438				0.002189								0.014666	0.008756	-0.000438
mp:2017-08-10_22.00.00.News.COU.AM	AM	2017-08-10T22:00:00.000Z	News	2.2.18	137.5	0.000085	0.058182	0.021818		0.029091	0.001818	0.094545	-0.021818	0.007273	0.036364	0.029091	0.003636	0.062273	0.036364	0.021818			0.003636							0.050909	0.007273				0.014545	-0.007273	0.000000															0.021818		
mp:2017-08-10_22.00.00.News.COU.AU	AU	2017-08-10T22:00:00.000Z	News	2.2.18	63238.9	0.039155	-0.159293	-0.005906	0.008816	0.005092	-0.009037	0.044213	0.041209	0.031618	0.073460	0.013947	0.014761	0.084653	0.002704	0.008326	0.000727	0.003360	-0.007814	0.000016	-0.000016	0.000206	0.000016	-0.002111	0.000435	0.001921	-0.001415	0.014369			0.002198	0.003337	0.011298	0.003036	0.000127	0.000245	0.000316		-0.000032	0.003669		0.000759	-0.000016	0.001099	0.000253	0.000206	0.000293	0.008484	-0.000332	-0.000016
mp:2017-08-10_22.00.00.News.COU.AT	AT	2017-08-10T22:00:00.000Z	News	2.2.18	1116.3	0.000691	-0.096748	0.058676	0.005375	0.013437	-0.001120	0.022395	-0.028666	0.032249	0.042551	0.004479	0.008958	0.089682	0.000896	0.005823		0.001792	0.007256		-0.000896				-0.002687	0.006271	-0.009854	0.010391					0.006271	-0.007167						0.013437								0.002687		0.000896
mp:2017-08-10_22.00.00.News.COU.BH	BH	2017-08-10T22:00:00.000Z	News	2.2.18	552.6	0.000342	0.072385	0.014477		0.009048	0.002714	0.034383	0.009048	0.050670	0.070575	0.005429	0.014477	0.092517	0.001810	0.007239			0.013210		0.003619	0.007239				0.047050	-0.003619						0.000000									0.001810		0.007239		0.001810				
mp:2017-08-10_22.00.00.News.COU.BD	BD	2017-08-10T22:00:00.000Z	News	2.2.18	3114.7	0.001929	-0.158924	0.002890	0.007063	0.003211	-0.005297	0.088933	0.016374	0.029698	0.065335	0.023116	0.009311	0.065155	0.004495	0.007866		0.001605	-0.007192	0.000642	0.001926	0.005458		0.001605	-0.000321	0.021511	0.000161	0.010434			0.004495	0.003211	0.006261	0.002087						0.002568				-0.002247				0.015090	0.007705	
mp:2017-08-10_22.00.00.News.COU.BY	BY	2017-08-10T22:00:00.000Z	News	2.2.18	108.5	0.000067	-0.193548		0.009217		-0.002304		-0.018433	0.009217	0.027650	0.027650	0.018433	0.047811	0.027650				-0.009217		0.018433					0.110599	0.009217						0.013825	0.129032		-0.018433													0.018433	
mp:2017-08-10_22.00.00.News.COU.BE	BE	2017-08-10T22:00:00.000Z	News	2.2.18	4359.5	0.002699	-0.235004	-0.010781	0.011240	0.002982	-0.023512	0.086134	0.045992	0.013992	0.073747	0.012501	0.008602	0.074034	0.001606	0.004358	0.000229	0.000459	-0.018637		0.005276			0.000918	-0.001835	-0.006423	-0.002867	0.012731			0.005735	0.000803	0.033605							0.001147				-0.002523	0.000459			0.011240		-0.000229
mp:2017-08-10_22.00.00.News.COU.BO	BO	2017-08-10T22:00:00.000Z	News	2.2.18	173.0	0.000107	-0.147399	-0.017341	0.008671		0.007225	0.046243	0.011561	-0.002890	0.069364	0.023121	0.034682	0.072254					-0.004335							-0.017341						-0.011561	0.052023							0.028902						0.023121		0.008671		
mp:2017-08-10_22.00.00.News.COU.BA	BA	2017-08-10T22:00:00.000Z	News	2.2.18	338.0	0.000209	-0.032544	0.026627	0.005917	0.032544	-0.000740	0.239645	-0.026627	0.053254	0.044379	0.017751	0.020710	0.045118	0.005917				0.004438							-0.029586	-0.008876	0.008876					-0.011834															0.011834		
mp:2017-08-10_22.00.00.News.COU.BR	BR	2017-08-10T22:00:00.000Z	News	2.2.18	6118.6	0.003788	-0.104272	-0.016916	0.002125	0.004985	-0.001634	0.013238	0.025905	0.030236	0.059082	0.011931	0.013729	0.079847	0.000327	0.002697	0.005230	0.001798	-0.009561	0.005230	0.001471	0.000490		0.000981	-0.000654	0.009479	-0.003350	0.013451		-0.001471	0.000654	0.002370	0.003498	0.000981	-0.000817	-0.000327	0.000327		0.000163	0.003596	0.000065			-0.001307			0.000490	0.006374	0.000654	
