id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	carryTrade	currencyPegInstability	priceMomentum
mp:2017-08-15_12.00.00.News_Social.CUR.ARS	ARS	2017-08-15T12:00:00.000Z	News_Social	2.2.19	129.0	0.004493	0.182171				-0.015504		0.031008	0.023256	0.031008	0.000000		0.147287	-0.015504		0.034884			0.007752			-0.007752
mp:2017-08-15_12.00.00.News_Social.CUR.AUD	AUD	2017-08-15T12:00:00.000Z	News_Social	2.2.19	2328.6	0.081107	-0.095766	0.001074	0.014172	0.001718	0.000107	0.003865	-0.010307	0.021472	0.039509	-0.004939	0.013742	0.075024	0.000429		0.022546	0.002362	0.021515	-0.000859			0.021472
mp:2017-08-15_12.00.00.News_Social.CUR.BRL	BRL	2017-08-15T12:00:00.000Z	News_Social	2.2.19	8.0	0.000279	-0.250000							0.125000	0.125000			0.000000			0.250000		0.250000				
mp:2017-08-15_12.00.00.News_Social.CUR.CAD	CAD	2017-08-15T12:00:00.000Z	News_Social	2.2.19	441.0	0.015360	-0.113379	0.000000	0.002268		0.015873	0.015873	0.018141	0.013605	0.071429	-0.002268	0.009070	0.137755	0.020408		0.010204	0.004535		0.009070			-0.004535
mp:2017-08-15_12.00.00.News_Social.CUR.CNY	CNY	2017-08-15T12:00:00.000Z	News_Social	2.2.19	2783.5	0.096952	-0.076163	0.009700	0.004311	0.001437	-0.005030	0.020837	-0.005030	0.026226	0.042393	0.045087	0.017963	0.075849	-0.055685	0.000359	0.078139	0.011317	0.022633	0.001796			0.010059
mp:2017-08-15_12.00.00.News_Social.CUR.EUR	EUR	2017-08-15T12:00:00.000Z	News_Social	2.2.19	3037.8	0.105809	-0.015472	-0.002798	0.003786	0.004279	0.002387	0.007077	0.018764	0.008230	0.056455	0.000000	0.016130	0.107742	0.012344	-0.000329	0.072915	0.004938	0.024458	0.001975			0.006090
mp:2017-08-15_12.00.00.News_Social.CUR.HKD	HKD	2017-08-15T12:00:00.000Z	News_Social	2.2.19	37.0	0.001289	0.297297	0.108108					0.000000		0.108108	0.054054	0.108108	0.155405			0.108108	0.054054					
mp:2017-08-15_12.00.00.News_Social.CUR.INR	INR	2017-08-15T12:00:00.000Z	News_Social	2.2.19	264.2	0.009202	-0.136260	-0.003785	0.003785	0.011355	0.020818	0.018925	-0.011355	0.045420	0.028388	-0.039743	0.022710	0.106927	0.011355		0.007570		0.060560	0.015140			
mp:2017-08-15_12.00.00.News_Social.CUR.IDR	IDR	2017-08-15T12:00:00.000Z	News_Social	2.2.19	313.8	0.010930	-0.181644	0.015934	0.006373		-0.065328	0.044614	0.022307	0.015934	0.038241	0.060548	0.003187	0.158700	-0.006373		0.086042		0.015296				0.000000
mp:2017-08-15_12.00.00.News_Social.CUR.IRR	IRR	2017-08-15T12:00:00.000Z	News_Social	2.2.19	2.5	0.000087	0.200000	0.200000										-0.050000	0.200000		0.400000						
mp:2017-08-15_12.00.00.News_Social.CUR.ILS	ILS	2017-08-15T12:00:00.000Z	News_Social	2.2.19	9.0	0.000313	0.555556									0.111111		0.194444			0.111111						
mp:2017-08-15_12.00.00.News_Social.CUR.JPY	JPY	2017-08-15T12:00:00.000Z	News_Social	2.2.19	881.1	0.030690	-0.028374	-0.079446	0.004540	0.001135	0.010640	0.012484	0.003405	0.024969	0.051073	0.009080	0.010215	0.090909	0.011349		0.062422	0.001135	0.042674	0.001135			-0.003972
mp:2017-08-15_12.00.00.News_Social.CUR.MYR	MYR	2017-08-15T12:00:00.000Z	News_Social	2.2.19	437.4	0.015235	-0.118884	0.034294			0.001143	0.027435	-0.022862	0.004572	0.054870	0.009145	0.009145	0.049497			-0.025149	0.011431	0.094650	0.011431			-0.025149
mp:2017-08-15_12.00.00.News_Social.CUR.MXN	MXN	2017-08-15T12:00:00.000Z	News_Social	2.2.19	68.4	0.002382	-0.051170	0.029240				0.029240	-0.029240	0.014620	0.175439	-0.014620	0.029240	0.130117			0.021930	0.014620	0.049708				
mp:2017-08-15_12.00.00.News_Social.CUR.NZD	NZD	2017-08-15T12:00:00.000Z	News_Social	2.2.19	341.0	0.011877	-0.026393	-0.005865	0.023460		0.002933	0.029326	-0.014663	0.023460	0.064516	0.010264	0.026393	0.094575	0.002933	0.002933	0.058651	0.008798					0.064516
mp:2017-08-15_12.00.00.News_Social.CUR.PLN	PLN	2017-08-15T12:00:00.000Z	News_Social	2.2.19	231.8	0.008074	-0.138050	-0.008628			0.003236	0.008628	0.112166	0.034513	0.129422	0.017256	0.008628	0.097282	0.004314		0.069025		0.085418				0.060397
mp:2017-08-15_12.00.00.News_Social.CUR.RUB	RUB	2017-08-15T12:00:00.000Z	News_Social	2.2.19	51.0	0.001776	-0.039216	0.019608					-0.058824		0.098039	0.000000		0.083333			0.000000	0.019608	0.058824				0.000000
mp:2017-08-15_12.00.00.News_Social.CUR.SGD	SGD	2017-08-15T12:00:00.000Z	News_Social	2.2.19	74.0	0.002577	0.148649			0.054054		0.013514	0.027027	0.054054	0.054054	0.054054		0.189189			-0.013514		0.040541				
mp:2017-08-15_12.00.00.News_Social.CUR.ZAR	ZAR	2017-08-15T12:00:00.000Z	News_Social	2.2.19	493.2	0.017179	-0.271695	-0.008110	0.050689		0.001267	0.006083	-0.010138	0.006083	0.007097	0.010138	0.006083	0.125101	-0.010138		-0.095296		0.045012	0.002028			
mp:2017-08-15_12.00.00.News_Social.CUR.KRW	KRW	2017-08-15T12:00:00.000Z	News_Social	2.2.19	7.0	0.000244	0.428571						0.142857		0.142857			0.250000									
mp:2017-08-15_12.00.00.News_Social.CUR.SEK	SEK	2017-08-15T12:00:00.000Z	News_Social	2.2.19	54.0	0.001881	-0.018519	0.037037	0.018519		0.004630		0.037037		0.037037	0.083333	0.037037	0.106481			0.101852		0.018519				0.018519
mp:2017-08-15_12.00.00.News_Social.CUR.CHF	CHF	2017-08-15T12:00:00.000Z	News_Social	2.2.19	470.4	0.016384	-0.282738	-0.010629	0.034014		0.000531	0.031888	0.002126	0.012755	0.051020	-0.021259	0.021259	0.081633			-0.025510		0.015731				0.000000
