2017-05-1101:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.1],===== Acumulative PL = ,[-0.1],=====,114.32,:,114.22
2017-05-1102:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.04],===== Acumulative PL = ,[-0.14],=====,114.22,:,114.18
2017-05-1103:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.05],===== Acumulative PL = ,[-0.19],=====,114.18,:,114.13
2017-05-1104:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.26],=====,114.13,:,114.2
2017-05-1105:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.01],===== Acumulative PL = ,[-0.25],=====,114.2,:,114.21
2017-05-1106:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.05],===== Acumulative PL = ,[-0.2],=====,114.21,:,114.16
2017-05-1107:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.06],===== Acumulative PL = ,[-0.14],=====,114.16,:,114.1
2017-05-1108:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.09],===== Acumulative PL = ,[-0.05],=====,114.1,:,114.19
2017-05-1109:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.01],===== Acumulative PL = ,[-0.06],=====,114.19,:,114.18
2017-05-1110:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.04],=====,114.18,:,114.16
2017-05-1111:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.12],===== Acumulative PL = ,[ 0.08],=====,114.16,:,114.04
2017-05-1112:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.18],===== Acumulative PL = ,[ 0.26],=====,114.04,:,113.86
2017-05-1113:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.12],===== Acumulative PL = ,[ 0.14],=====,113.86,:,113.98
2017-05-1114:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.24],===== Acumulative PL = ,[-0.1],=====,113.98,:,113.74
2017-05-1115:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.03],===== Acumulative PL = ,[-0.07],=====,113.74,:,113.71
2017-05-1116:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.04],===== Acumulative PL = ,[-0.11],=====,113.71,:,113.75
2017-05-1117:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.03],===== Acumulative PL = ,[-0.08],=====,113.75,:,113.78
2017-05-1118:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.14],===== Acumulative PL = ,[-0.22],=====,113.78,:,113.92
2017-05-1119:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.28],=====,113.92,:,113.86
2017-05-1120:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.02],===== Acumulative PL = ,[-0.3],=====,113.86,:,113.84
2017-05-1121:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.01],===== Acumulative PL = ,[-0.31],=====,113.84,:,113.85
2017-05-1122:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.37],=====,113.85,:,113.79
2017-05-1123:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.03],===== Acumulative PL = ,[-0.34],=====,113.79,:,113.76
2017-05-1200:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.05],===== Acumulative PL = ,[-0.39],=====,113.76,:,113.81
2017-05-1201:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.07],===== Acumulative PL = ,[-0.32],=====,113.81,:,113.88
2017-05-1202:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.14],===== Acumulative PL = ,[-0.18],=====,113.88,:,113.74
2017-05-1203:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.09],===== Acumulative PL = ,[-0.09],=====,113.74,:,113.65
2017-05-1204:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.03],===== Acumulative PL = ,[-0.12],=====,113.65,:,113.68
2017-05-1205:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.01],===== Acumulative PL = ,[-0.11],=====,113.68,:,113.67
2017-05-1206:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.09],===== Acumulative PL = ,[-0.2],=====,113.67,:,113.76
2017-05-1207:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.01],===== Acumulative PL = ,[-0.21],=====,113.76,:,113.75
2017-05-1208:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.15],===== Acumulative PL = ,[-0.36],=====,113.75,:,113.6
2017-05-1209:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.34],=====,113.6,:,113.62
2017-05-1210:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.3],=====,113.62,:,113.66
2017-05-1211:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.12],===== Acumulative PL = ,[-0.18],=====,113.66,:,113.78
2017-05-1212:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.24],=====,113.78,:,113.84
2017-05-1213:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.5],===== Acumulative PL = ,[ 0.26],=====,113.84,:,113.34
2017-05-1214:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.05],===== Acumulative PL = ,[ 0.21],=====,113.34,:,113.39
2017-05-1215:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.15],===== Acumulative PL = ,[ 0.06],=====,113.39,:,113.24
2017-05-1216:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[ 0.1],=====,113.24,:,113.28
2017-05-1217:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.12],===== Acumulative PL = ,[-0.02],=====,113.28,:,113.4
2017-05-1218:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.05],===== Acumulative PL = ,[ 0.03],=====,113.4,:,113.35
2017-05-1219:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.03],=====,113.35,:,113.41
2017-05-1220:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.12],===== Acumulative PL = ,[-0.15],=====,113.41,:,113.29
2017-05-1221:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.04],===== Acumulative PL = ,[-0.19],=====,113.29,:,113.33
2017-05-1222:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1223:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1300:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1301:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1302:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1303:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1304:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1305:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1306:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1307:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1308:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1309:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1310:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1311:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1312:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1313:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1314:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1315:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1316:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1317:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1318:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1319:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1320:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1321:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1322:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
2017-05-1323:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.19],=====,113.33,:,113.33
