2016-05-3006:00:00,-1,-0.2,-0.2111.09,111.29
2016-05-3007:00:00,-1, 0.03,-0.17111.29,111.26
2016-05-3008:00:00,-1,-0.09,-0.26111.26,111.35
2016-05-3009:00:00,-1, 0.24,-0.02111.35,111.11
2016-05-3010:00:00,-1,-0.03,-0.05111.11,111.14
2016-05-3011:00:00,1,-0.04,-0.09111.14,111.1
2016-05-3012:00:00,-1,-0.04,-0.13111.1,111.14
2016-05-3013:00:00,0, 0.,-0.13111.14,111.16
2016-05-3014:00:00,-1,-0.,-0.13111.16,111.16
2016-05-3015:00:00,0,-0.,-0.13111.16,111.08
2016-05-3016:00:00,1,-0.01,-0.14111.08,111.07
2016-05-3017:00:00,-1,-0.05,-0.19111.07,111.12
2016-05-3018:00:00,-1, 0.06,-0.13111.12,111.06
2016-05-3019:00:00,1, 0.06,-0.07111.06,111.12
2016-05-3020:00:00,-1,-0.02,-0.09111.12,111.14
2016-05-3021:00:00,0,-0.,-0.09111.14,111.11
2016-05-3022:00:00,1, 0.,-0.09111.11,111.11
2016-05-3023:00:00,0,-0.,-0.09111.11,110.94
2016-05-3100:00:00,1,-0.11,-0.2110.94,110.83
2016-05-3101:00:00,-1,-0.03,-0.23110.83,110.86
2016-05-3102:00:00,-1,-0.23,-0.46110.86,111.09
2016-05-3103:00:00,0,-0.,-0.46111.09,111.06
2016-05-3104:00:00,1, 0.22,-0.24111.06,111.28
2016-05-3105:00:00,-1, 0.13,-0.11111.28,111.15
2016-05-3106:00:00,-1,-0.09,-0.2111.15,111.24
2016-05-3107:00:00,-1, 0.1,-0.1111.24,111.14
2016-05-3108:00:00,1,-0.02,-0.12111.14,111.12
2016-05-3109:00:00,1,-0.18,-0.3111.12,110.94
2016-05-3110:00:00,1, 0.12,-0.18110.94,111.06
2016-05-3111:00:00,0,-0.,-0.18111.06,111.05
2016-05-3112:00:00,1,-0.05,-0.23111.05,111.0
2016-05-3113:00:00,1, 0.15,-0.08111.0,111.15
2016-05-3114:00:00,1, 0.,-0.08111.15,111.15
2016-05-3115:00:00,0,-0.,-0.08111.15,110.9
2016-05-3116:00:00,-1, 0.15, 0.07110.9,110.75
2016-05-3117:00:00,1,-0.09,-0.02110.75,110.66
2016-05-3118:00:00,1, 0.06, 0.04110.66,110.72
2016-05-3119:00:00,1,-0.13,-0.09110.72,110.59
2016-05-3120:00:00,0, 0.,-0.09110.59,110.72
2016-05-3121:00:00,1,-0.04,-0.13110.72,110.68
2016-05-3122:00:00,1, 0.04,-0.09110.68,110.72
2016-05-3123:00:00,1, 0.02,-0.07110.72,110.74
2016-06-0100:00:00,0,-0.,-0.07110.74,110.62
2016-06-0101:00:00,0,-0.,-0.07110.62,110.56
2016-06-0102:00:00,1, 0.14, 0.07110.56,110.7
2016-06-0103:00:00,1, 0.01, 0.08110.7,110.71
2016-06-0104:00:00,1,-0.12,-0.04110.71,110.59
2016-06-0105:00:00,-1, 0.12, 0.08110.59,110.47
2016-06-0106:00:00,-1, 0.53, 0.61110.47,109.94
2016-06-0107:00:00,-1,-0.1, 0.51109.94,110.04
2016-06-0108:00:00,-1,-0.01, 0.5110.04,110.05
2016-06-0109:00:00,-1, 0.2, 0.7110.05,109.85
2016-06-0110:00:00,-1, 0.23, 0.93109.85,109.62
2016-06-0111:00:00,1,-0.09, 0.84109.62,109.53
2016-06-0112:00:00,1,-0.34, 0.5109.53,109.19
2016-06-0113:00:00,-1, 0.12, 0.62109.19,109.07
2016-06-0114:00:00,-1,-0.16, 0.46109.07,109.23
2016-06-0115:00:00,-1,-0.22, 0.24109.23,109.45
2016-06-0116:00:00,-1,-0.1, 0.14109.45,109.55
2016-06-0117:00:00,-1,-0.09, 0.05109.55,109.64
2016-06-0118:00:00,-1, 0.12, 0.17109.64,109.52
2016-06-0119:00:00,1, 0.04, 0.21109.52,109.56
2016-06-0120:00:00,-1, 0.08, 0.29109.56,109.48
2016-06-0121:00:00,1, 0.05, 0.34109.48,109.53
2016-06-0122:00:00,1,-0.08, 0.26109.53,109.45
2016-06-0123:00:00,1, 0.07, 0.33109.45,109.52
2016-06-0200:00:00,-1, 0.09, 0.42109.52,109.43
2016-06-0201:00:00,1,-0.12, 0.3109.43,109.31
2016-06-0202:00:00,-1, 0.11, 0.41109.31,109.2
2016-06-0203:00:00,1,-0.27, 0.14109.2,108.93
2016-06-0204:00:00,1, 0.01, 0.15108.93,108.94
2016-06-0205:00:00,-1,-0.21,-0.06108.94,109.15
2016-06-0206:00:00,-1, 0.05,-0.01109.15,109.1
2016-06-0207:00:00,1, 0.07, 0.06109.1,109.17
2016-06-0208:00:00,1,-0.23,-0.17109.17,108.94
2016-06-0209:00:00,1, 0.04,-0.13108.94,108.98
2016-06-0210:00:00,1, 0.05,-0.08108.98,109.03
2016-06-0211:00:00,1,-0.09,-0.17109.03,108.94
2016-06-0212:00:00,1, 0.06,-0.11108.94,109.0
2016-06-0213:00:00,1,-0.25,-0.36109.0,108.75
2016-06-0214:00:00,1,-0.15,-0.51108.75,108.6
2016-06-0215:00:00,1,-0.06,-0.57108.6,108.54
2016-06-0216:00:00,1, 0.2,-0.37108.54,108.74
2016-06-0217:00:00,1,-0.02,-0.39108.74,108.72
2016-06-0218:00:00,1, 0.06,-0.33108.72,108.78
2016-06-0219:00:00,1, 0.09,-0.24108.78,108.87
2016-06-0220:00:00,-1, 0.08,-0.16108.87,108.79
2016-06-0221:00:00,1, 0.06,-0.1108.79,108.85
2016-06-0222:00:00,1,-0.01,-0.11108.85,108.84
2016-06-0223:00:00,1,-0.02,-0.13108.84,108.82
2016-06-0300:00:00,-1,-0.03,-0.16108.82,108.85
2016-06-0301:00:00,-1,-0.17,-0.33108.85,109.02
2016-06-0302:00:00,-1, 0.12,-0.21109.02,108.9
2016-06-0303:00:00,-1, 0.04,-0.17108.9,108.86
2016-06-0304:00:00,0,-0.,-0.17108.86,108.82
2016-06-0305:00:00,1,-0.2,-0.37108.82,108.62
2016-06-0306:00:00,1, 0.02,-0.35108.62,108.64
2016-06-0307:00:00,0, 0.,-0.35108.64,108.73
2016-06-0308:00:00,1, 0.01,-0.34108.73,108.74
2016-06-0309:00:00,1, 0.07,-0.27108.74,108.81
2016-06-0310:00:00,-1,-0.17,-0.44108.81,108.98
2016-06-0311:00:00,-1, 0.06,-0.38108.98,108.92
2016-06-0312:00:00,1,-0.07,-0.45108.92,108.85
2016-06-0313:00:00,0,-0.,-0.45108.85,107.57
2016-06-0314:00:00,1,-0.47,-0.92107.57,107.1
2016-06-0315:00:00,-1, 0.33,-0.59107.1,106.77
2016-06-0316:00:00,1, 0.09,-0.5106.77,106.86
2016-06-0317:00:00,1,-0.15,-0.65106.86,106.71
2016-06-0318:00:00,1,-0.1,-0.75106.71,106.61
2016-06-0319:00:00,1, 0.07,-0.68106.61,106.68
2016-06-0320:00:00,-1, 0.06,-0.62106.68,106.62
2016-06-0321:00:00,1,-0.11,-0.73106.62,106.51
2016-06-0322:00:00,1, 0.,-0.73106.51,106.51
2016-06-0323:00:00,1, 0.,-0.73106.51,106.51
2016-06-0400:00:00,1, 0.,-0.73106.51,106.51
2016-06-0401:00:00,1, 0.,-0.73106.51,106.51
2016-06-0402:00:00,0, 0.,-0.73106.51,106.51
2016-06-0403:00:00,1, 0.,-0.73106.51,106.51
2016-06-0404:00:00,0, 0.,-0.73106.51,106.51
2016-06-0405:00:00,0, 0.,-0.73106.51,106.51
2016-06-0406:00:00,0, 0.,-0.73106.51,106.51
2016-06-0407:00:00,1, 0.,-0.73106.51,106.51
2016-06-0408:00:00,0, 0.,-0.73106.51,106.51
2016-06-0409:00:00,0, 0.,-0.73106.51,106.51
2016-06-0410:00:00,1, 0.,-0.73106.51,106.51
2016-06-0411:00:00,0, 0.,-0.73106.51,106.51
2016-06-0412:00:00,0, 0.,-0.73106.51,106.51
2016-06-0413:00:00,0, 0.,-0.73106.51,106.51
2016-06-0414:00:00,0, 0.,-0.73106.51,106.51
2016-06-0415:00:00,0, 0.,-0.73106.51,106.51
2016-06-0416:00:00,0, 0.,-0.73106.51,106.51
2016-06-0417:00:00,0, 0.,-0.73106.51,106.51
2016-06-0418:00:00,0, 0.,-0.73106.51,106.51
2016-06-0419:00:00,1, 0.,-0.73106.51,106.51
